source_id,title,authors,year,doi_or_patent,url,access_status,property,value,unit,temperature_C,pressure_MPa,composition,provenance,notes,relevance,confidence
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,PCL_viscosity,80,mPa.s,20,,bisphenol-A epoxy PCL,PUBLISHED_EXPERIMENTAL,PCL viscosity decreases from 80 to 33 mPa s when T reaches 60 C,analogue_ISP_viscosity,high
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,PCL_viscosity,33,mPa.s,60,,bisphenol-A epoxy PCL,PUBLISHED_EXPERIMENTAL,Same curve endpoint at 60 C,analogue_ISP_viscosity,high
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,NPCL_viscosity,4,mPa.s,20,,deionized water + nonionic surfactant,PUBLISHED_EXPERIMENTAL,NPCL 4 to 3 mPa s with temperature,analogue_carrier_viscosity,high
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,NPCL_viscosity,3,mPa.s,60,,deionized water + nonionic surfactant,PUBLISHED_EXPERIMENTAL,Endpoint of NPCL viscosity statement,analogue_carrier_viscosity,high
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,mixture_viscosity,55,mPa.s,30,,PCL+NPCL mixture,PUBLISHED_EXPERIMENTAL,Mixture 55 to 33 mPa s at 30-35 C,analogue_mixture_above_10cP,high
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,mixture_viscosity,33,mPa.s,35,,PCL+NPCL mixture,PUBLISHED_EXPERIMENTAL,After 35 C the mixture viscosity changes smoothly,analogue_mixture_above_10cP,high
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,sorting_coefficient_min,1.04,dimensionless,,,autogenous epoxy particles,PUBLISHED_EXPERIMENTAL,S=1.04-1.73 good sorting; decreases with shear rate,particle_size_control,high
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,sorting_coefficient_max,1.73,dimensionless,,,autogenous epoxy particles,PUBLISHED_EXPERIMENTAL,Upper of reported sorting range,particle_size_control,high
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,crush_rate_20_40_mesh,3.56,percent,,69,RD/PF=5:5 new material,PUBLISHED_EXPERIMENTAL,Table 7; 20/40 mesh at 69 MPa,analogue_crush,high
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,crush_rate_6_20_mesh,8.42,percent,,69,RD/PF=5:5 new material,PUBLISHED_EXPERIMENTAL,Table 7,analogue_crush,high
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,no_breakage_observed,1,boolean,,69,autogenous solid particles,PUBLISHED_EXPERIMENTAL,Fig 9: no breakage at 69 MPa vs quartz/ceramsite broken. Boolean 1=true,analogue_sphericity_strength,high
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,friction_reduction,69,percent,,,PCL:NPCL=1:10,PUBLISHED_EXPERIMENTAL,Resistance reduction rate 69% at volume ratio 1:10,delivery_friction,high
CHEN2023_OMEGA,Experimental Study on a Liquid-Solid Phase-Change Autogenous Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Zeng J; Tang B; He T",2023,10.1021/acsomega.2c04853,https://pmc.ncbi.nlm.nih.gov/articles/PMC10018694/,open_access_fulltext,phase_change_core_test,10,min,80,,PCL+NPCL in fractured core,PUBLISHED_EXPERIMENTAL,Core held at 80 C; observed after 10 min,analogue_transform_time,medium
CHEN2022_ENERGIES,Synthesis and Characterization of a Novel Self-Generated Proppant Fracturing Fluid System,"Chen Y; Sang Y; Guo J; Yang J; Chen W; Liu F; Zeng J; Tang B",2022,10.3390/en15228737,https://www.mdpi.com/1996-1073/15/22/8737,open_access_fulltext,mixture_viscosity,30,mPa.s,,,epoxy PCL + surfactant NPCL,PUBLISHED_EXPERIMENTAL,Abstract: viscosity about 30 mPa s; phase-change T about 80 C; time about 20 min,analogue_ISP,high
