case,time_s,n_droplets,droplet_id,d_eq_um,sphericity,deformation,volume_m3,centroid_x_m,centroid_y_m,centroid_z_m,surface_area_m2,min_separation_m,coalescence_events_cumulative,mean_U_m_s,pressure_drop_Pa,n_cells,nx,ny,nz,provenance
phaseforge_channel_3d,0.02,4,1,474.2259069814178,0.9711300909966522,0.08195395479688838,5.5841162360839845e-11,0.003528597562749839,0.0011799831028027708,0.0006800733100006034,7.275167774411314e-07,0.0025836104704667386,0,0.05000919550695007,5.712005665696614,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.02,4,2,474.949298912137,0.9729138663587877,0.0817194765205812,5.6097095427246104e-11,0.006029141364233273,0.001820696346366725,0.0014288437565859622,7.284000742402141e-07,0.0025836104704667386,0,0.05000919550695007,5.712005665696614,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.02,4,3,475.243077897294,0.9711944925274794,0.04737163012778034,5.620125608398438e-11,0.008511315315330132,0.0011401076398933443,0.0010000133413543583,7.305925874806673e-07,0.0025836104704667386,0,0.05000919550695007,5.712005665696614,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.02,4,4,486.0664111520132,0.9717585725551862,0.015075024278872196,6.012920404541017e-11,0.011001530199626844,0.0017499815805364248,0.0006807537766472722,7.63805381483465e-07,0.0025836104704667386,0,0.05000919550695007,5.712005665696614,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.04,4,1,474.660645493956,0.9714945084238495,0.03144530923699207,5.599487749023438e-11,0.0046031718872698284,0.0012689457559304886,0.0007687605624896242,7.285778665522407e-07,0.002542660848824934,0,0.05001236478379963,4.583980659928385,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.04,4,2,474.0485311603614,0.9708849216164451,0.04733917195379389,5.577852659423828e-11,0.007098972467678211,0.0017353506403982,0.0015121091907653106,7.271562259011982e-07,0.002542660848824934,0,0.05001236478379963,4.583980659928385,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.04,4,3,472.442486361696,0.9693012864589415,0.055967511952981996,5.5213523337402345e-11,0.009538922863494833,0.0012358619120621964,0.0009999790624124444,7.234174433433467e-07,0.002542660848824934,0,0.05001236478379963,4.583980659928385,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.04,4,4,482.44389159046665,0.973392696304701,0.054531037414281,5.879481907958984e-11,0.012021729618030982,0.001750484328103154,0.0006780436706136017,7.511997131790385e-07,0.002542660848824934,0,0.05001236478379963,4.583980659928385,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.06,4,1,476.36557746472926,0.9771763862779383,0.026255849774908024,5.6600430810546876e-11,0.005712803974644342,0.0013469703259899031,0.0008471064738714156,7.295543513427119e-07,0.0024859166532979014,0,0.05001389645246569,4.176838723183594,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.06,4,2,475.87717809714707,0.974411576976246,0.02696790415015582,5.642651848144532e-11,0.008173932636336072,0.0016580821330586177,0.0015871748963139953,7.301249554095015e-07,0.0024859166532979014,0,0.05001389645246569,4.176838723183594,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.06,4,3,477.3593542597635,0.970670595917104,0.04625156463548097,5.695540368408204e-11,0.010572186237553204,0.0013693349052042315,0.0009999898234457317,7.375116304409518e-07,0.0024859166532979014,0,0.05001389645246569,4.176838723183594,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.06,4,4,479.3869267366949,0.9741302402299123,0.09078810093296474,5.768424081298829e-11,0.013037199144905299,0.0017503711258705713,0.0007503588693531223,7.411484758037169e-07,0.0024859166532979014,0,0.05001389645246569,4.176838723183594,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.08,4,1,476.34056337625873,0.970984598427598,0.0397852073911954,5.659151496582031e-11,0.00683128471947839,0.0014181057794267406,0.000918312436193896,7.341294787378069e-07,0.0024791310629550764,0,0.050021948262548695,3.9721523767773435,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.08,4,2,477.3586865185785,0.9771976204512053,0.09329606872264717,5.6955164672851564e-11,0.009209374831023229,0.0015966090825726366,0.0016759626392832867,7.325834980090708e-07,0.0024791310629550764,0,0.050021948262548695,3.9721523767773435,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.08,4,3,471.841847704707,0.973480905720311,0.0721861971413158,5.500320419921876e-11,0.01159626450696846,0.0015085156486082712,0.000999982846236385,7.18481097802063e-07,0.0024791310629550764,0,0.050021948262548695,3.9721523767773435,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d,0.08,4,4,485.33385038474825,0.9705983120288458,0.023446911765429124,5.985774766357423e-11,0.014060079955681091,0.001749937409282354,0.0008679987734595117,7.624151311391382e-07,0.0024791310629550764,0,0.050021948262548695,3.9721523767773435,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.0,4,1,499.9486591110682,0.9246254142248657,0.05115658817430602,6.54296875e-11,0.0024999999999999996,0.0011483208955223884,0.0006483208955223879,8.492486443032888e-07,0.002600024456336823,0,nan,nan,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.0,4,2,499.9486591110682,0.9246254142248657,0.05115658817430546,6.54296875e-11,0.004999999999999999,0.001851679104477612,0.0013983208955223882,8.492486443032888e-07,0.002600024456336823,0,nan,nan,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.0,4,3,497.44887404739757,0.9409749710969724,0.05220604141998442,6.445312500000001e-11,0.007500000000000001,0.0011032196969696971,0.001,8.26168638885739e-07,0.002600024456336823,0,nan,nan,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.0,4,4,504.87457887924995,0.9216212655532976,0.030110521506137244,6.738281250000001e-11,0.01,0.00175,0.0006970108695652172,8.688891885837765e-07,0.002600024456336823,0,nan,nan,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.02,4,1,477.55399002405545,0.9673149901747449,0.058183457635358815,5.702510010253906e-11,0.0034871670646264546,0.0011768185117686219,0.0006768821229276066,7.406736775615727e-07,0.0025876304982145664,0,0.0500083653547542,3.6209481994140624,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.02,4,2,477.5487942426766,0.9674560215947328,0.05818345763535826,5.70232388256836e-11,0.005987237446172652,0.0018231985434978945,0.0014264463045404196,7.405495908559373e-07,0.0025876304982145664,0,0.0500083653547542,3.6209481994140624,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.02,4,3,473.6563654323037,0.9751307416515377,0.08867442436409745,5.564020951904297e-11,0.008474671362251909,0.0011345019300266432,0.0010000139248225565,7.227927386395796e-07,0.0025876304982145664,0,0.0500083653547542,3.6209481994140624,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.02,4,4,480.61568648312306,0.9725050315855345,0.08610278707725327,5.812894572753906e-11,0.010967902114675817,0.001749981888313133,0.0006824978915178792,7.461976867862681e-07,0.0025876304982145664,0,0.0500083653547542,3.6209481994140624,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.04,4,1,475.55315619397624,0.9723065663818695,0.04321298523368455,5.6311335515136716e-11,0.004495605678166117,0.0012706336644470375,0.0007704628232951005,7.307095623591384e-07,0.0025391551572669585,0,0.0500119054498267,2.776098279622395,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.04,4,2,477.8041565808094,0.9742487689054361,0.0285089844494274,5.7114764816894525e-11,0.006992162754077833,0.0017333495347847405,0.0015152570043173218,7.361729472516071e-07,0.0025391551572669585,0,0.0500119054498267,2.776098279622395,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.04,4,3,475.7138656834156,0.9719452293331371,0.040684312686450674,5.636844474365234e-11,0.009428358620662356,0.001236599126774785,0.0009999923689562107,7.314753582876067e-07,0.0025391551572669585,0,0.0500119054498267,2.776098279622395,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.04,4,4,481.3818423367348,0.9714153673328373,0.06044845745830041,5.840738148925782e-11,0.011918419848187598,0.0017500348347020082,0.0006201599853209866,7.494183322673926e-07,0.0025391551572669585,0,0.0500119054498267,2.776098279622395,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.06,4,1,480.71009146189823,0.9678258795590834,0.025529995797050287,5.816320640625001e-11,0.005495294483532149,0.001373606469785207,0.0008735654967672446,7.5009992210375e-07,0.002456192000793152,0,0.05001486420024159,2.493220721966146,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.06,4,2,475.4765447057277,0.972208511999194,0.060859553610180694,5.6284124675292966e-11,0.007980205312179994,0.0016335669656001427,0.00160693336866426,7.305478207802493e-07,0.002456192000793152,0,0.05001486420024159,2.493220721966146,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.06,4,3,472.7044998966542,0.9722249842420198,0.045514564268787194,5.5305437478027343e-11,0.01034995325370556,0.0014126213429589626,0.001000009262839397,7.220421794908221e-07,0.002456192000793152,0,0.05001486420024159,2.493220721966146,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.06,4,4,485.3458726063275,0.9748706022524235,0.05457298351507489,5.986219598876954e-11,0.012826387866050963,0.001749979282073681,0.0005007176108391424,7.591115160994359e-07,0.002456192000793152,0,0.05001486420024159,2.493220721966146,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.08,4,1,475.713559962286,0.9732806933658347,0.01884728565595284,5.636833606689453e-11,0.006474408122622974,0.001474888895911859,0.0009742781018592082,7.304707428276197e-07,0.002535675655806164,0,0.05003526629734502,2.3351957990820313,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.08,4,2,477.9766153540612,0.9572116254670087,0.6728199155935892,5.7176632202148444e-11,0.008838412681915786,0.001545271145221862,0.0019184165028049824,7.498168700783466e-07,0.002535675655806164,0,0.05003526629734502,2.3351957990820313,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.08,4,3,473.6473989486175,0.9734107111078607,0.07666407108944606,5.5637049711914064e-11,0.01122588135628616,0.001630384933849417,0.000999974223343565,7.24042510124914e-07,0.002535675655806164,0,0.05003526629734502,2.3351957990820313,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_hpht,0.08,4,4,488.21359303479295,0.9770931732023871,0.01997834969925094,6.092958547119142e-11,0.013681207463965124,0.0017495155676974345,0.0003780155201509349,7.663614100808232e-07,0.002535675655806164,0,0.05003526629734502,2.3351957990820313,491520,320,48,32,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_coarse,0.02,4,1,434.02427080204086,1.0716565576622163,0.13497112580013737,4.280955078124999e-11,0.003341300963250662,0.001073019286456321,0.0005793217279110014,5.522329029648126e-07,0.002621449438354866,0,0.05001921572468868,5.916140610416667,61440,160,24,16,CFD_3D_MODEL_PREDICTION
phaseforge_channel_3d_coarse,0.02,4,2,440.3380529530605,1.0776410357238306,0.21215301246233154,4.4705121093749996e-11,0.005851258028848939,0.001924575086694399,0.0013197832294887916,5.65259913343412e-07,0.002621449438354866,0,0.05001921572468868,5.916140610416667,61440,160,24,16,CFD_3D_MODEL_PREDICTION
