diameter_um,D_mode,diffusion_model,activator_activity,temperature_C,t_partition_min,t_diffusion_min,t_activation_min,t_polymerization_min,t_post_trigger_particle_min,t_trigger_arrival_min,t_trigger_arrival_tag,t_total_after_initial_pumping_min,in_challenge_window_from_pumping,in_window_from_contact,t_arr_min_allowable_min,t_arr_max_allowable_min,envelope_feasible,status,pathway,uncertainty,dispersion_5min_entire_band_in_window,dispersion_10min_entire_band_in_window,dispersion_15min_entire_band_in_window
70.0,lee_ambient,lee_ambient,1.0,150.0,2.0,0.10395059582832274,10.0,15.0,27.103950595828323,0.0,ASSUMED_FOR_DEPLOYMENT_SCENARIO,27.103950595828323,True,True,0.0,47.89604940417168,True,UNKNOWN,PLAUSIBLE_CANDIDATE,Lee D is ambient; partition/activation/poly are analogue/ASSUMED; trigger arrival is operational ASSUMED_FOR_DEPLOYMENT_SCENARIO; front dispersion ASSUMED_FOR_SENSITIVITY ±5/10/15 min.,False,False,False
70.0,lee_ambient,lee_ambient,1.0,150.0,2.0,0.10395059582832274,10.0,15.0,27.103950595828323,5.0,ASSUMED_FOR_DEPLOYMENT_SCENARIO,32.10395059582832,True,True,0.0,47.89604940417168,True,UNKNOWN,PLAUSIBLE_CANDIDATE,Lee D is ambient; partition/activation/poly are analogue/ASSUMED; trigger arrival is operational ASSUMED_FOR_DEPLOYMENT_SCENARIO; front dispersion ASSUMED_FOR_SENSITIVITY ±5/10/15 min.,True,False,False
70.0,lee_ambient,lee_ambient,1.0,150.0,2.0,0.10395059582832274,10.0,15.0,27.103950595828323,10.0,ASSUMED_FOR_DEPLOYMENT_SCENARIO,37.10395059582832,True,True,0.0,47.89604940417168,True,UNKNOWN,PLAUSIBLE_CANDIDATE,Lee D is ambient; partition/activation/poly are analogue/ASSUMED; trigger arrival is operational ASSUMED_FOR_DEPLOYMENT_SCENARIO; front dispersion ASSUMED_FOR_SENSITIVITY ±5/10/15 min.,True,True,False
70.0,lee_ambient,lee_ambient,1.0,150.0,2.0,0.10395059582832274,10.0,15.0,27.103950595828323,15.0,ASSUMED_FOR_DEPLOYMENT_SCENARIO,42.10395059582832,True,True,0.0,47.89604940417168,True,UNKNOWN,PLAUSIBLE_CANDIDATE,Lee D is ambient; partition/activation/poly are analogue/ASSUMED; trigger arrival is operational ASSUMED_FOR_DEPLOYMENT_SCENARIO; front dispersion ASSUMED_FOR_SENSITIVITY ±5/10/15 min.,True,True,True
70.0,lee_ambient,lee_ambient,1.0,150.0,2.0,0.10395059582832274,10.0,15.0,27.103950595828323,20.0,ASSUMED_FOR_DEPLOYMENT_SCENARIO,47.10395059582832,True,True,0.0,47.89604940417168,True,UNKNOWN,PLAUSIBLE_CANDIDATE,Lee D is ambient; partition/activation/poly are analogue/ASSUMED; trigger arrival is operational ASSUMED_FOR_DEPLOYMENT_SCENARIO; front dispersion ASSUMED_FOR_SENSITIVITY ±5/10/15 min.,True,True,True
70.0,lee_ambient,lee_ambient,1.0,150.0,2.0,0.10395059582832274,10.0,15.0,27.103950595828323,25.0,ASSUMED_FOR_DEPLOYMENT_SCENARIO,52.10395059582832,True,True,0.0,47.89604940417168,True,UNKNOWN,PLAUSIBLE_CANDIDATE,Lee D is ambient; partition/activation/poly are analogue/ASSUMED; trigger arrival is operational ASSUMED_FOR_DEPLOYMENT_SCENARIO; front dispersion ASSUMED_FOR_SENSITIVITY ±5/10/15 min.,True,True,True
70.0,lee_ambient,lee_ambient,1.0,150.0,2.0,0.10395059582832274,10.0,15.0,27.103950595828323,30.0,ASSUMED_FOR_DEPLOYMENT_SCENARIO,57.10395059582832,True,True,0.0,47.89604940417168,True,UNKNOWN,PLAUSIBLE_CANDIDATE,Lee D is ambient; partition/activation/poly are analogue/ASSUMED; trigger arrival is operational ASSUMED_FOR_DEPLOYMENT_SCENARIO; front dispersion ASSUMED_FOR_SENSITIVITY ±5/10/15 min.,True,True,True
70.0,lee_ambient,lee_ambient,1.0,150.0,2.0,0.10395059582832274,10.0,15.0,27.103950595828323,35.0,ASSUMED_FOR_DEPLOYMENT_SCENARIO,62.10395059582832,True,True,0.0,47.89604940417168,True,UNKNOWN,PLAUSIBLE_CANDIDATE,Lee D is ambient; partition/activation/poly are analogue/ASSUMED; trigger arrival is operational ASSUMED_FOR_DEPLOYMENT_SCENARIO; front dispersion ASSUMED_FOR_SENSITIVITY ±5/10/15 min.,True,True,False
70.0,lee_ambient,lee_ambient,1.0,150.0,2.0,0.10395059582832274,10.0,15.0,27.103950595828323,40.0,ASSUMED_FOR_DEPLOYMENT_SCENARIO,67.10395059582832,True,True,0.0,47.89604940417168,True,UNKNOWN,PLAUSIBLE_CANDIDATE,Lee D is ambient; partition/activation/poly are analogue/ASSUMED; trigger arrival is operational ASSUMED_FOR_DEPLOYMENT_SCENARIO; front dispersion ASSUMED_FOR_SENSITIVITY ±5/10/15 min.,True,False,False
70.0,lee_ambient,lee_ambient,1.0,150.0,2.0,0.10395059582832274,10.0,15.0,27.103950595828323,45.0,ASSUMED_FOR_DEPLOYMENT_SCENARIO,72.10395059582832,True,True,0.0,47.89604940417168,True,UNKNOWN,PLAUSIBLE_CANDIDATE,Lee D is ambient; partition/activation/poly are analogue/ASSUMED; trigger arrival is operational ASSUMED_FOR_DEPLOYMENT_SCENARIO; front dispersion ASSUMED_FOR_SENSITIVITY ±5/10/15 min.,False,False,False
70.0,lee_ambient,lee_ambient,1.0,150.0,2.0,0.10395059582832274,10.0,15.0,27.103950595828323,50.0,ASSUMED_FOR_DEPLOYMENT_SCENARIO,77.10395059582832,False,True,0.0,47.89604940417168,True,UNKNOWN,OUTSIDE_WINDOW_OR_UNCONSTRAINED,Lee D is ambient; partition/activation/poly are analogue/ASSUMED; trigger arrival is operational ASSUMED_FOR_DEPLOYMENT_SCENARIO; front dispersion ASSUMED_FOR_SENSITIVITY ±5/10/15 min.,False,False,False
